,Log,Objects,Events,Activities,Types,Relative Variance,Start,Relations,Notion
10,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,27555807.164339136,{'Transport Document'},"{('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Drive to Terminal', 'Truck'), ('Customer Order', 'Create Transport Document'), ('Book Vehicles', 'Vehicle'), ('Depart', 'Container'), ('Order Empty Containers', 'Container'), ('Container', 'Order Empty Containers'), ('Container', 'Weigh'), ('Vehicle', 'Load to Vehicle'), ('Container', 'Drive to Terminal'), ('Load to Vehicle', 'Vehicle'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Container', 'Load to Vehicle'), ('Weigh', 'Container'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Container', 'Load Truck'), ('Drive to Terminal', 'Container'), ('Depart', 'Vehicle'), ('Container', 'Reschedule Container'), ('Container', 'Pick Up Empty Container'), ('Transport Document', 'Depart'), ('Container', 'Place in Stock'), ('Load Truck', 'Truck'), ('Place in Stock', 'Forklift'), ('Register Customer Order', 'Customer Order'), ('Reschedule Container', 'Container'), ('Place in Stock', 'Container'), ('Create Transport Document', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Reschedule Container', 'Transport Document'), ('Load Truck', 'Handling Unit'), ('Vehicle', 'Book Vehicles'), ('Handling Unit', 'Collect Goods'), ('Create Transport Document', 'Transport Document'), ('Bring to Loading Bay', 'Forklift'), ('Bring to Loading Bay', 'Container'), ('Reschedule Container', 'Vehicle'), ('Load Truck', 'Container'), ('Vehicle', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Load to Vehicle', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Load to Vehicle', 'Container'), ('Collect Goods', 'Handling Unit'), ('Transport Document', 'Reschedule Container'), ('Container', 'Bring to Loading Bay'), ('Handling Unit', 'Load Truck')}",Advanced
11,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,26930461.113718778,{'Handling Unit'},"{('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Drive to Terminal', 'Truck'), ('Customer Order', 'Create Transport Document'), ('Book Vehicles', 'Vehicle'), ('Depart', 'Container'), ('Container', 'Order Empty Containers'), ('Container', 'Weigh'), ('Order Empty Containers', 'Container'), ('Vehicle', 'Load to Vehicle'), ('Container', 'Drive to Terminal'), ('Load to Vehicle', 'Vehicle'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Container', 'Load to Vehicle'), ('Weigh', 'Container'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Reschedule Container'), ('Container', 'Load Truck'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Container'), ('Container', 'Reschedule Container'), ('Depart', 'Vehicle'), ('Container', 'Pick Up Empty Container'), ('Container', 'Place in Stock'), ('Transport Document', 'Depart'), ('Book Vehicles', 'Transport Document'), ('Load Truck', 'Truck'), ('Place in Stock', 'Forklift'), ('Place in Stock', 'Container'), ('Reschedule Container', 'Container'), ('Register Customer Order', 'Customer Order'), ('Create Transport Document', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Reschedule Container', 'Transport Document'), ('Load Truck', 'Handling Unit'), ('Vehicle', 'Book Vehicles'), ('Handling Unit', 'Collect Goods'), ('Create Transport Document', 'Transport Document'), ('Bring to Loading Bay', 'Forklift'), ('Bring to Loading Bay', 'Container'), ('Reschedule Container', 'Vehicle'), ('Load Truck', 'Container'), ('Collect Goods', 'Handling Unit'), ('Vehicle', 'Depart'), ('Load to Vehicle', 'Forklift'), ('Transport Document', 'Create Transport Document'), ('Load to Vehicle', 'Container'), ('Transport Document', 'Reschedule Container'), ('Container', 'Bring to Loading Bay'), ('Handling Unit', 'Load Truck')}",Advanced
12,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,0.0,{'Forklift'},"{('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Drive to Terminal', 'Truck'), ('Customer Order', 'Create Transport Document'), ('Forklift', 'Weigh'), ('Book Vehicles', 'Vehicle'), ('Depart', 'Container'), ('Container', 'Order Empty Containers'), ('Container', 'Weigh'), ('Order Empty Containers', 'Container'), ('Vehicle', 'Load to Vehicle'), ('Load to Vehicle', 'Vehicle'), ('Container', 'Drive to Terminal'), ('Forklift', 'Load to Vehicle'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Weigh', 'Container'), ('Container', 'Load to Vehicle'), ('Order Empty Containers', 'Transport Document'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Reschedule Container'), ('Container', 'Load Truck'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Container'), ('Container', 'Reschedule Container'), ('Depart', 'Vehicle'), ('Forklift', 'Place in Stock'), ('Container', 'Pick Up Empty Container'), ('Container', 'Place in Stock'), ('Transport Document', 'Depart'), ('Place in Stock', 'Forklift'), ('Load Truck', 'Truck'), ('Place in Stock', 'Container'), ('Reschedule Container', 'Container'), ('Register Customer Order', 'Customer Order'), ('Create Transport Document', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Reschedule Container', 'Transport Document'), ('Load Truck', 'Handling Unit'), ('Vehicle', 'Book Vehicles'), ('Handling Unit', 'Collect Goods'), ('Create Transport Document', 'Transport Document'), ('Bring to Loading Bay', 'Forklift'), ('Bring to Loading Bay', 'Container'), ('Reschedule Container', 'Vehicle'), ('Load Truck', 'Container'), ('Forklift', 'Bring to Loading Bay'), ('Vehicle', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Load to Vehicle', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Load to Vehicle', 'Container'), ('Collect Goods', 'Handling Unit'), ('Transport Document', 'Reschedule Container'), ('Container', 'Bring to Loading Bay'), ('Handling Unit', 'Load Truck')}",Advanced
13,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,0.0,{'Truck'},"{('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Drive to Terminal', 'Truck'), ('Customer Order', 'Create Transport Document'), ('Book Vehicles', 'Vehicle'), ('Depart', 'Container'), ('Container', 'Order Empty Containers'), ('Container', 'Weigh'), ('Order Empty Containers', 'Container'), ('Vehicle', 'Load to Vehicle'), ('Container', 'Drive to Terminal'), ('Load to Vehicle', 'Vehicle'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Container', 'Load to Vehicle'), ('Weigh', 'Container'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Reschedule Container'), ('Container', 'Load Truck'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Container'), ('Container', 'Reschedule Container'), ('Depart', 'Vehicle'), ('Container', 'Pick Up Empty Container'), ('Container', 'Place in Stock'), ('Transport Document', 'Depart'), ('Book Vehicles', 'Transport Document'), ('Load Truck', 'Truck'), ('Place in Stock', 'Forklift'), ('Place in Stock', 'Container'), ('Reschedule Container', 'Container'), ('Register Customer Order', 'Customer Order'), ('Create Transport Document', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Reschedule Container', 'Transport Document'), ('Truck', 'Drive to Terminal'), ('Load Truck', 'Handling Unit'), ('Vehicle', 'Book Vehicles'), ('Handling Unit', 'Collect Goods'), ('Create Transport Document', 'Transport Document'), ('Bring to Loading Bay', 'Forklift'), ('Bring to Loading Bay', 'Container'), ('Truck', 'Load Truck'), ('Reschedule Container', 'Vehicle'), ('Load Truck', 'Container'), ('Collect Goods', 'Handling Unit'), ('Vehicle', 'Depart'), ('Load to Vehicle', 'Forklift'), ('Transport Document', 'Create Transport Document'), ('Load to Vehicle', 'Container'), ('Transport Document', 'Reschedule Container'), ('Container', 'Bring to Loading Bay'), ('Handling Unit', 'Load Truck')}",Advanced
14,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,27297336.09590116,{'Container'},"{('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Drive to Terminal', 'Truck'), ('Customer Order', 'Create Transport Document'), ('Book Vehicles', 'Vehicle'), ('Depart', 'Container'), ('Container', 'Order Empty Containers'), ('Container', 'Weigh'), ('Order Empty Containers', 'Container'), ('Vehicle', 'Load to Vehicle'), ('Container', 'Drive to Terminal'), ('Load to Vehicle', 'Vehicle'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Container', 'Load to Vehicle'), ('Weigh', 'Container'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Reschedule Container'), ('Container', 'Load Truck'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Container'), ('Container', 'Reschedule Container'), ('Depart', 'Vehicle'), ('Container', 'Pick Up Empty Container'), ('Container', 'Place in Stock'), ('Transport Document', 'Depart'), ('Load Truck', 'Truck'), ('Place in Stock', 'Forklift'), ('Place in Stock', 'Container'), ('Reschedule Container', 'Container'), ('Register Customer Order', 'Customer Order'), ('Create Transport Document', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Reschedule Container', 'Transport Document'), ('Load Truck', 'Handling Unit'), ('Vehicle', 'Book Vehicles'), ('Handling Unit', 'Collect Goods'), ('Create Transport Document', 'Transport Document'), ('Bring to Loading Bay', 'Forklift'), ('Bring to Loading Bay', 'Container'), ('Reschedule Container', 'Vehicle'), ('Load Truck', 'Container'), ('Vehicle', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Load to Vehicle', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Load to Vehicle', 'Container'), ('Collect Goods', 'Handling Unit'), ('Transport Document', 'Reschedule Container'), ('Container', 'Bring to Loading Bay'), ('Handling Unit', 'Load Truck')}",Advanced
15,data/02_ocel_standard_p2p.json,9054,14671,10,7,11532155.830793217,{'payment'},"{('payment', 'Execute Payment')}",Traditional
16,data/02_ocel_standard_p2p.json,9054,14671,10,7,10868450.315726954,{'invoice receipt'},"{('invoice receipt', 'Perform Two-Way Match'), ('invoice receipt', 'Execute Payment'), ('invoice receipt', 'Create Invoice Receipt')}",Traditional
17,data/02_ocel_standard_p2p.json,9054,14671,10,7,14146167.527899822,{'purchase_requisition'},"{('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('purchase_requisition', 'Approve Purchase Requisition'), ('purchase_requisition', 'Create Request for Quotation'), ('purchase_requisition', 'Create Purchase Requisition')}",Traditional
18,data/02_ocel_standard_p2p.json,9054,14671,10,7,9867442.524337668,{'quotation'},"{('quotation', 'Approve Purchase Order'), ('quotation', 'Create Request for Quotation'), ('quotation', 'Create Purchase Order')}",Traditional
19,data/02_ocel_standard_p2p.json,9054,14671,10,7,21186335.63417542,{'material'},"{('material', 'Create Purchase Requisition'), ('material', 'Delegate Purchase Requisition Approval'), ('material', 'Approve Purchase Requisition')}",Traditional
