,Log,Objects,Events,Activities,Types,Standard Deviation,Start,Relations,Notion
10,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,27555807.164339136,{'Transport Document'},"{('Register Customer Order', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Book Vehicles', 'Vehicle'), ('Container', 'Load to Vehicle'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Customer Order', 'Create Transport Document'), ('Order Empty Containers', 'Container'), ('Container', 'Place in Stock'), ('Weigh', 'Container'), ('Drive to Terminal', 'Container'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Vehicle', 'Depart'), ('Container', 'Load Truck'), ('Book Vehicles', 'Transport Document'), ('Place in Stock', 'Forklift'), ('Order Empty Containers', 'Transport Document'), ('Place in Stock', 'Container'), ('Load Truck', 'Truck'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Book Vehicles'), ('Container', 'Bring to Loading Bay'), ('Depart', 'Vehicle'), ('Vehicle', 'Reschedule Container'), ('Container', 'Drive to Terminal'), ('Load Truck', 'Handling Unit'), ('Depart', 'Container'), ('Create Transport Document', 'Customer Order'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Load to Vehicle', 'Forklift'), ('Create Transport Document', 'Transport Document'), ('Reschedule Container', 'Vehicle'), ('Load to Vehicle', 'Container'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Container', 'Reschedule Container'), ('Bring to Loading Bay', 'Forklift'), ('Handling Unit', 'Load Truck'), ('Vehicle', 'Load to Vehicle'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",Advanced
11,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,28320581.7656796,{'Customer Order'},"{('Register Customer Order', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Book Vehicles', 'Vehicle'), ('Container', 'Load to Vehicle'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Customer Order', 'Create Transport Document'), ('Order Empty Containers', 'Container'), ('Container', 'Place in Stock'), ('Weigh', 'Container'), ('Drive to Terminal', 'Container'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Vehicle', 'Depart'), ('Container', 'Load Truck'), ('Book Vehicles', 'Transport Document'), ('Place in Stock', 'Forklift'), ('Order Empty Containers', 'Transport Document'), ('Place in Stock', 'Container'), ('Load Truck', 'Truck'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Book Vehicles'), ('Container', 'Bring to Loading Bay'), ('Depart', 'Vehicle'), ('Vehicle', 'Reschedule Container'), ('Container', 'Drive to Terminal'), ('Load Truck', 'Handling Unit'), ('Create Transport Document', 'Customer Order'), ('Depart', 'Container'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Load to Vehicle', 'Forklift'), ('Create Transport Document', 'Transport Document'), ('Reschedule Container', 'Vehicle'), ('Load to Vehicle', 'Container'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Container', 'Reschedule Container'), ('Bring to Loading Bay', 'Forklift'), ('Handling Unit', 'Load Truck'), ('Vehicle', 'Load to Vehicle'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",Advanced
12,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,0.0,{'Forklift'},"{('Register Customer Order', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Forklift', 'Place in Stock'), ('Book Vehicles', 'Vehicle'), ('Container', 'Load to Vehicle'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Customer Order', 'Create Transport Document'), ('Order Empty Containers', 'Container'), ('Weigh', 'Container'), ('Container', 'Place in Stock'), ('Drive to Terminal', 'Container'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Forklift', 'Bring to Loading Bay'), ('Vehicle', 'Depart'), ('Container', 'Load Truck'), ('Place in Stock', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Place in Stock', 'Container'), ('Load Truck', 'Truck'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Container', 'Bring to Loading Bay'), ('Vehicle', 'Book Vehicles'), ('Depart', 'Vehicle'), ('Vehicle', 'Reschedule Container'), ('Container', 'Drive to Terminal'), ('Load Truck', 'Handling Unit'), ('Depart', 'Container'), ('Create Transport Document', 'Customer Order'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Forklift', 'Weigh'), ('Load to Vehicle', 'Forklift'), ('Load to Vehicle', 'Container'), ('Reschedule Container', 'Vehicle'), ('Create Transport Document', 'Transport Document'), ('Container', 'Reschedule Container'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Forklift', 'Load to Vehicle'), ('Bring to Loading Bay', 'Forklift'), ('Handling Unit', 'Load Truck'), ('Vehicle', 'Load to Vehicle'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",Advanced
13,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,24410010.669823974,{'Vehicle'},"{('Register Customer Order', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Book Vehicles', 'Vehicle'), ('Container', 'Load to Vehicle'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Customer Order', 'Create Transport Document'), ('Order Empty Containers', 'Container'), ('Container', 'Place in Stock'), ('Weigh', 'Container'), ('Drive to Terminal', 'Container'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Vehicle', 'Depart'), ('Container', 'Load Truck'), ('Book Vehicles', 'Transport Document'), ('Place in Stock', 'Forklift'), ('Order Empty Containers', 'Transport Document'), ('Place in Stock', 'Container'), ('Load Truck', 'Truck'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Book Vehicles'), ('Container', 'Bring to Loading Bay'), ('Depart', 'Vehicle'), ('Vehicle', 'Reschedule Container'), ('Container', 'Drive to Terminal'), ('Load Truck', 'Handling Unit'), ('Depart', 'Container'), ('Create Transport Document', 'Customer Order'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Load to Vehicle', 'Forklift'), ('Load to Vehicle', 'Container'), ('Reschedule Container', 'Vehicle'), ('Create Transport Document', 'Transport Document'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Container', 'Reschedule Container'), ('Bring to Loading Bay', 'Forklift'), ('Handling Unit', 'Load Truck'), ('Vehicle', 'Load to Vehicle'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",Advanced
14,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,26930461.113718778,{'Handling Unit'},"{('Register Customer Order', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Book Vehicles', 'Vehicle'), ('Container', 'Load to Vehicle'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Customer Order', 'Create Transport Document'), ('Order Empty Containers', 'Container'), ('Container', 'Place in Stock'), ('Weigh', 'Container'), ('Drive to Terminal', 'Container'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Vehicle', 'Depart'), ('Container', 'Load Truck'), ('Place in Stock', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Place in Stock', 'Container'), ('Load Truck', 'Truck'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Container', 'Bring to Loading Bay'), ('Vehicle', 'Book Vehicles'), ('Depart', 'Vehicle'), ('Vehicle', 'Reschedule Container'), ('Load Truck', 'Handling Unit'), ('Container', 'Drive to Terminal'), ('Depart', 'Container'), ('Create Transport Document', 'Customer Order'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Load to Vehicle', 'Forklift'), ('Load to Vehicle', 'Container'), ('Reschedule Container', 'Vehicle'), ('Create Transport Document', 'Transport Document'), ('Container', 'Reschedule Container'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Handling Unit', 'Load Truck'), ('Bring to Loading Bay', 'Forklift'), ('Vehicle', 'Load to Vehicle'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",Advanced
15,data/02_ocel_standard_p2p.json,9054,14671,10,7,21186335.63417542,{'material'},"{('material', 'Approve Purchase Requisition'), ('material', 'Delegate Purchase Requisition Approval'), ('material', 'Create Purchase Requisition')}",Traditional
16,data/02_ocel_standard_p2p.json,9054,14671,10,7,9867442.524337668,{'quotation'},"{('quotation', 'Create Purchase Order'), ('quotation', 'Create Request for Quotation'), ('quotation', 'Approve Purchase Order')}",Traditional
17,data/02_ocel_standard_p2p.json,9054,14671,10,7,17475767.384981893,{'goods receipt'},"{('goods receipt', 'Execute Payment'), ('goods receipt', 'Create Goods Receipt'), ('goods receipt', 'Create Invoice Receipt'), ('goods receipt', 'Perform Two-Way Match')}",Traditional
18,data/02_ocel_standard_p2p.json,9054,14671,10,7,10868450.315726954,{'invoice receipt'},"{('invoice receipt', 'Create Invoice Receipt'), ('invoice receipt', 'Perform Two-Way Match'), ('invoice receipt', 'Execute Payment')}",Traditional
19,data/02_ocel_standard_p2p.json,9054,14671,10,7,21040636.1336869,{'purchase_order'},"{('purchase_order', 'Create Purchase Order'), ('purchase_order', 'Execute Payment'), ('purchase_order', 'Create Goods Receipt'), ('purchase_order', 'Approve Purchase Order')}",Traditional
